PATH                                                     LINES  LAST COMMIT           REACHED FROM
--------------------------------------------------------------------------------------------------------------
algorithms/__init__.py                                      49  8f5c8ad 2026-08-27    import:algorithms/rlvr_data.py
algorithms/prepare_rlvr.py                                  13  aa3a8b9 2026-08-26    none
algorithms/rlvr.py                                          13  aa3a8b9 2026-08-26    ENTRY
algorithms/rlvr_data.py                                    236  a85a54e 2026-08-30    registry:algorithms/__init__.py
algorithms/rlvr_generate.py                                 43  9176f85 2026-08-30    registry:algorithms/__init__.py
algorithms/rlvr_reward.py                                   99  39c3ff3 2026-08-30    registry:algorithms/__init__.py
algorithms/rlvr_trainer.py                                 381  9176f85 2026-08-30    ENTRY
algorithms/test_rlvr_reward_suite.py                       151  79f8089 2026-08-31    none
bench_gpu_probe.py                                          36  d535674 2026-08-31    facts:facts/efficiency.json
bench_mem.py                                                75  b87fa94 2026-08-30    none
chat.py                                                     50  3f6c3ad 2026-08-29    ENTRY
data/sft/quality_check.py                                  297  aecba2d 2026-08-29    none
datagen/annotate_quality.py                                139  9176f85 2026-08-30    facts:scripts/restartability_baseline.json
datagen/audit_source_score.py                              100  9176f85 2026-08-30    docs:docs/lessons/kept_methods.md
datagen/augment_data.py                                    114  9176f85 2026-08-30    facts:scripts/restartability_baseline.json
datagen/build_corpus.py                                    428  26c14d9 2026-08-30    ENTRY
datagen/clean_web.py                                       157  9176f85 2026-08-30    docs:docs/standards/corpus_rebuild.md
datagen/distil_traces.py                                   168  9176f85 2026-08-30    facts:scripts/restartability_baseline.json
datagen/fasttext_junk.py                                   147  cd8f37e 2026-08-30    facts:facts/data_quality.json
datagen/gen_code.py                                        340  9176f85 2026-08-30    facts:scripts/restartability_baseline.json
datagen/gen_knowledge.py                                   575  9b7242b 2026-08-27    facts:scripts/restartability_baseline.json
datagen/gen_knowledge2.py                                  433  9176f85 2026-08-30    facts:scripts/restartability_baseline.json
datagen/quality_clf.py                                     169  9176f85 2026-08-30    facts:facts/data_quality.json
datagen/sample_pattern_discovery.py                         79  d535674 2026-08-31    facts:scripts/restartability_baseline.json
datagen/score_27b_zero.py                                  220  d535674 2026-08-31    facts:scripts/restartability_baseline.json
datagen/score_web_27b.py                                   280  9176f85 2026-08-30    facts:facts/data_quality.json
datagen/train_quality_head.py                              161  9176f85 2026-08-30    ENTRY
eval/__init__.py                                            43  234356f 2026-08-30    import:eval/run_eval.py
eval/arc.py                                                 82  5604d42 2026-08-29    registry:eval/run_eval.py
eval/base_matrix.py                                        422  60e2436 2026-08-30    ENTRY
eval/boolq.py                                               60  5604d42 2026-08-29    registry:eval/run_eval.py
eval/ceval.py                                               60  9176f85 2026-08-30    registry:eval/run_eval.py
eval/chid_probe.py                                          79  9176f85 2026-08-30    import:eval/base_matrix.py
eval/code_fewshot.py                                       177  c51019a 2026-08-30    docs:EXPERIMENTS.md
eval/code_zh.py                                            184  8ca02e7 2026-08-31    ENTRY
eval/ctx_probe.py                                          218  3b32e69 2026-08-31    facts:facts/base_eval.json
eval/gsm8k.py                                               65  c51019a 2026-08-30    registry:eval/run_eval.py
eval/hellaswag.py                                           64  9176f85 2026-08-30    registry:eval/run_eval.py
eval/l1_fewshot.py                                         136  c51019a 2026-08-30    ENTRY
eval/lambada_zh.py                                         242  ef40a44 2026-08-30    ENTRY
eval/math_hard.py                                          181  89e7f9d 2026-08-31    ENTRY
eval/math_v2_like.py                                       176  e33a97e 2026-08-30    ENTRY
eval/math_zh.py                                            115  89e7f9d 2026-08-31    ENTRY
eval/mmlu.py                                                67  5604d42 2026-08-29    registry:eval/run_eval.py
eval/openbookqa.py                                          67  5604d42 2026-08-29    registry:eval/run_eval.py
eval/piqa.py                                                74  5604d42 2026-08-29    registry:eval/run_eval.py
eval/ppl.py                                                 84  26c14d9 2026-08-30    none
eval/run_eval.py                                           340  c51019a 2026-08-30    ENTRY
eval/winogrande.py                                          69  9176f85 2026-08-30    registry:eval/run_eval.py
filters/clean_school_math.py                                38  aa3a8b9 2026-08-26    none
filters/pass1_garbage.py                                   126  aa3a8b9 2026-08-26    ENTRY
filters/pass2_garbage.py                                    65  9176f85 2026-08-30    facts:facts/data_quality.json
filters/pass3_garbage.py                                    70  df2b774 2026-08-30    facts:facts/data_quality.json
fone.py                                                    307  9176f85 2026-08-30    import:algorithms/rlvr.py
infer.py                                                    23  5604d42 2026-08-29    ENTRY
infer_local.py                                             441  b3cad87 2026-08-30    ENTRY
mathbank/arith_curriculum.py                               220  9176f85 2026-08-30    facts:scripts/restartability_baseline.json
mathbank/dist_check.py                                     117  9176f85 2026-08-30    import
mathbank/eval_hard_v2_gen.py                               467  4c8a550 2026-08-30    docs:docs/audits/audit_math_corpus.md
mathbank/make_v11.py                                       127  9176f85 2026-08-30    facts:scripts/restartability_baseline.json
mathbank/make_v11_band.py                                  225  96a4308 2026-08-29    docs:docs/audits/audit_math_corpus.md
mathbank/math_programs_l1.py                               269  aa3a8b9 2026-08-26    registry:mathbank/vet_programs.py
mathbank/math_programs_l1_ext1.py                          769  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l1_ext2.py                         1329  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l1_ext3.py                         1443  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l2.py                               223  aa3a8b9 2026-08-26    registry:mathbank/vet_programs.py
mathbank/math_programs_l2_ext1.py                         1238  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l2_ext2.py                         1272  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l2_ext3.py                         2050  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l3.py                               241  aa3a8b9 2026-08-26    registry:mathbank/vet_programs.py
mathbank/math_programs_l3_ext1.py                         1218  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l3_ext2.py                         1785  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l3_ext3.py                         2156  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l3_ext4.py                         2019  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l3_ext5.py                         2230  df30c3a 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l3_ext6.py                         1606  152f68e 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l3_ext7.py                         1632  3f3ed39 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l3_ext8.py                         1913  b1c3760 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l4.py                               168  aa3a8b9 2026-08-26    registry:mathbank/vet_programs.py
mathbank/math_programs_l4_ext2.py                         1597  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l4_ext3.py                         1799  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
mathbank/math_programs_l4_ext4.py                         2001  aa3a8b9 2026-08-26    registry:mathbank/run_math_short.py
